"REQUEST YOUR QUOTE","Demandez un devis"
"Please note","Veuillez noter que nous ne pouvons annuler votre commande seulement si nous n'avons pas commencé à imprimer et à expédier votre produit."
"edit_picture","Modifier"
"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copier les données depuis : %s)"
"(Will make search for the query above return results for this search.)","(Fera une recherche pour la requête ci-dessus. Retourne des résultats pour cette recherche)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Faites un choix --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 par défaut, si non renseigné. Pour actualiser instantanément, purgez le cache des Blocs HTML de sortie."
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom."
"A name is required","Un nom est requis"
"A product type is not defined for the indexer.","Aucun type de produit n'est défini pour l'indexer."
"ALL GROUPS","TOUS LES GROUPES"
"AM","AM"
"Action","Action"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add New","Ajouter"
"Add New Attribute","Ajouter un attribut"
"Add New Attribute Set","Nouveau jeu d'attributs"
"Add New Group","Nouveau groupe"
"Add New Images","Nouvelles images"
"Add New Option","Ajouter une option"
"Add New Row","Ajouter une ligne"
"Add New Search Term","Ajouter un terme de recherche"
"Add New Set","Ajouter un jeu"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un palier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'envies"
"Additional Information","Informations complémentaires"
"Alert Urls","Urls d'alerte"
"All Product Types","Tous les types de produits"
"All Websites","Tous les sites web"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tous les produits de ce jeu seront supprimés ! Êtes-vous sûr(e) de vouloir supprimer ce jeu d'attributs ?"
"Allow All Products per Page","Autoriser tous les produits par page"
"Allow Dynamic Media URLs in Products and Categories","Autoriser les URLs de media dynamiques dans les produits et catégories"
"Allow HTML Tags on Frontend","Autoriser les balises HTML sur le frontend"
"Allowed File Extensions","Extensions de fichier autorisées"
"Allowed file extensions to upload","Extensions de fichier autorisées pour l'envoi"
"An error occurred while adding customers for the %s alert. Message: %s","Erreur lors de l'ajout de clients pour l'alerte %s. Message : %s"
"An error occurred while adding products to websites.","Erreur lors de l'ajout de produits aux sites web."
"An error occurred while clearing comparison list.","Erreur lors de l'effacement de la liste de comparaison."
"An error occurred while removing products from websites.","Erreur lors de la suppression de produits des sites web."
"An error occurred while saving the URL rewrite.","Erreur lors de la sauvegarde de la réécriture d'URL."
"An error occurred while saving the attribute set.","Erreur lors de la sauvegarde du jeu d'attributs."
"An error occurred while saving the collection, aborting. Error message: %s","Erreur lors de la sauvegarde de la collection. Erreur : %s"
"An error occurred while saving the product. ","Erreur lors de la sauvegarde du produit. "
"An error occurred while saving the search query.","Erreur lors de la sauvegarde de la requête de recherche."
"An error occurred while saving this group.","Erreur lors de la sauvegarde de ce groupe."
"An error occurred while trying to delete the category.","Erreur lors de la suppression de la catégorie."
"An error occurred while updating the product(s) attributes.","Erreur lors de la mise à jour des attributs de produits."
"An error occurred while updating the product(s) status.","Erreur lors de la mise à jour du statut de produits."
"An invalid option ID is specified for %s (%s), skipping the record.","Identifiant d'option invalide pour %s (%s), ligne ignorée."
"An invalid store was specified.","Une boutique invalide a été spécifiée."
"Anchor Custom Text","Présenter un texte personnalisé"
"Anchor Custom Title","Présenter un titre personnalisé"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable aux produits et catégories uniquement. Tous les contenus media seront insérés dans l'éditeur comme des URLs statiques. Aucune mise à jour n'est opérée lors de changements de l'URL de base dans la configuration système."
"Apply To","S'applique à"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Êtes-vous sûr(e) de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove all products from your comparison?","Êtes-vous sûr(e) de vouloir enlever tous les produits de la comparaison ?"
"Are you sure you would like to remove this item from the compare products?","Êtes-vous sûr(e) de vouloir enlever cet article de la comparaison ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"As low as:","Prix spécial :"
"Assign","Assigner"
"Assign product link","Assigner un lien de produit"
"Assign product to category","Assigner un produit à une catégorie"
"Assigned Products","Produits assignés"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom du jeu d'attr."
"Attribute ""%s"" is invalid.","L'attribut ""%s"" est invalide."
"Attribute ""%s"" is required.","L'attribut ""%s"" est obligatoire."
"Attribute Information","Informations attributs"
"Attribute Model","Modèle d'attribut"
"Attribute Name:","Nom de l'attribut :"
"Attribute Set","Jeu d'attributs"
"Attribute group with the ""/name/"" name already exists","Il existe déjà un groupe portant le nom \""/name/\""."
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Attrribute names can be specified per store.","Les noms d'attributs peuvent être spécifiés pour chaque magasin."
"Autogenerate","Générer automatiquement"
"Availability:","Disponibilité :"
"Back","Retour"
"Backend Model","Modèle pour le back office"
"Backend Table","Table de back office"
"Backend Table Title","Titre de table de back office"
"Backorders","Commande en rupture de stock"
"Based On","Basé sur"
"Best Value","Meilleure affaire"
"Block after Info Column","Bloc après la colonne d'information"
"Bottom Block Options Wrapper","Options du bloc du bas"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Browse By","Filtrer par"
"Buy %1$s for %2$s","Achetez-en %1$s pour %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Achetez-en %1$s à %2$s (%3$s TTC) pièce"
"Buy %1$s for %2$s each","Achetez-en %1$s à %2$s pièce"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"Cache refresh needed.","Il est nécessaire de rafraichir le cache."
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type liste déroulante"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Can\'t create image.","Impossible de créer l\'image"
"Cannot create image.","Impossible de créer l'image."
"Cannot create writeable directory '%s'.","Impossible de créer le répertoire '%s' avec les droits d'écriture."
"Cart Item Attribute","Attribut d'article panier"
"Catalog","Catalogue"
"Catalog Category (Anchor)","Catégorie de catalogue (ancré)"
"Catalog Category (Non-Anchor)","Catégorie de catalogue (non-ancré)"
"Catalog Category (Without Subcategories)","Catégorie de catalogue (sans sous-catégories)"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"Catalog Price Scope","Portée des prix catalogue"
"Catalog Product Compare List","Liste de comparaison de produits catalogue"
"Catalog Product Email to a Friend","Envoyer à un ami"
"Catalog Product Image Gallery Popup","Pop-up de galerie d'images de produit"
"Catalog Product Link","Lien produit catalogue"
"Catalog Product View (Any)","Vue produit catalogue (Tous)"
"Catalog Product View (Configurable)","Vue produit catalogue (Configurable)"
"Catalog Product View (Grouped)","Vue produit catalogue (Groupé)"
"Catalog Product View (Simple)","Vue produit catalogue (Simple)"
"Catalog Product View (Virtual)","Vue produit catalogue (Virtuel)"
"Catalog Section","Section catalogue"
"Catalog Seo Popular Search Terms","Termes recherchés populaires du catalogue SEO"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Liste des catégories)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Arborescence catégorie)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Commun)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Liste des produits)"
"Catalog URL Rewrites","Réécriture d'URL du catalogue"
"Catalog, Search","Catalogue, Recherche"
"Categories","Catégories"
"Categories Sitemap","Plan de site des catégories"
"Category","Catégorie"
"Category API","API de catégorie"
"Category Data","Données de catégorie"
"Category Flat Data","Données fixes de catégorie"
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit inline de lien catégorie"
"Category Products","Produits de la catégorie"
"Category Top Navigation","Navigation dans les catégories"
"Category URL Suffix","Suffixe d'URL des catégories"
"Category attributes API","API d'attributs de catégories"
"Category move error","Erreur de déplacement de catégorie"
"Category move operation is not possible: the new parent category was not found.","Le déplacement de la catégorie n'est pas possible : la catégorie mère n'a pas été trouvée."
"Category must be an instance of Mage_Catalog_Model_Category.","La catégorie doit être une instance de Mage_Catalog_Model_Category."
"Center","Centrer"
"Change","Modifier"
"Change or Retrieve attribute store view","Changer ou récupérer la vue magasin de l'attribut"
"Change status","Changer le statut"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"Choose an Option...","Choisissez une option..."
"Clear All","Alles entfernen"
"Close Window","Fermer la fenêtre"
"Collapse All","Tout réduire"
"Comma-separated.","Séparées par des virgules."
"Comparable","Comparable"
"Comparable on Front-end","Comparable sur le front-office"
"Comparable on the Frontend","Comparable sur le front-office"
"Compare","Comparer"
"Compare Products","Comparer des produits"
"Conditions Combination","Combinaison de conditions"
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres produit configurable"
"Continue","Continuer"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Pays / État"
"Create","Créer"
"Create (Upload)","Créer (télécharger)"
"Create Empty","Créer vide"
"Create Permanent Redirect for old URL","Créer des redirections permanentes pour les anciennes URLs."
"Create Permanent Redirect for old URLs if Url key changed","Créer des redirections permanentes pour les anciennes URLs si la clé d'URL a changé."
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Create new category","Créer une catégorie"
"Create new product","Créer un produit"
"Cross-sells","Ventes croisées"
"Custom Design","Design personnalisé"
"Custom Options","Options personnalisables"
"Customer Group","Groupe de clients"
"Customers Reviews","Clients ayant commenté"
"Customers Tagged Product","Clients ayant proposé des mots-clés"
"Customers for alert %s were successfuly added to queue","Les clients pour l'alerte %s ont bien été ajoutés à la file d'attente."
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Date Fields Order","Ordre des champs de date"
"Date Subscribed","Date d'abonnement"
"Datetime","Date et heure"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Default Price","Prix par défaut"
"Default Price Navigation Step","Tranche de prix par défaut"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Définit la portée de la devise de base (""Configuration de devises"" > ""Options de devises"" > ""Devise de base"")."
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le jeu d'attributs"
"Delete Category","Supprimer cette catégorie"
"Delete Option","Supprimer cette option"
"Delete Row","Supprimer la ligne"
"Delete Search","Supprimer la recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete category","Supprimer la catégorie"
"Delete product","Supprimer le produit"
"Depends on design theme","Dépendant du thème de design"
"Design","Design"
"Details","Détails"
"Disabled","Désactivé"
"Disallowed file type.","Type de fichier interdit."
"Display in Suggested Terms","Afficher dans les termes suggérés"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Double click on above image to view full picture","Double-cliquez sur l'image ci-dessus pour la voir en entier"
"Duplicate","Dupliquer"
"Duplicate website tier price customer group and quantity.","Le prix par palier pour ce site web, ce groupe client et cette quantité existe déjà."
"Duplicate website, country and state tax found.","Une taxe pour ce site web, ce pays et cet état existe déjà."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Par ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Le parsing des directives dynamiques peut affecter les performances du catalogue."
"Edit","Éditer"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Éditer la recherche '%s'"
"Edit Set Name","Éditer le nom du jeu d'attributs"
"Email","Email"
"Email to %s was not sent.","L'email n'a pas été envoyé à %s"
"Email to a Friend","Envoyer à un ami"
"Empty","Vide"
"Enable Qty Increments","Activer les incréments de quantités"
"Enable WYSIWYG","Activer l'éditeur WYSIWYG"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Exclude","Exclure"
"Expand All","Tout développer"
"Failed","Échec"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Feature Products","Produits sélectionnés"
"Field is not complete","Champ non complet"
"File options format is not valid.","Le format des options de fichier n'est pas valide."
"File upload failed","L'envoi de fichier a échoué"
"Filter model name must be declared.","Le nom de modèle de filtre doit être spécifié."
"Filter must be an object. Please set correct filter.","Le filtre doit être un objet. Veuillez renseigner le filtre correctement."
"Filterable (no results)","Filtrable (pas de résultats)"
"Filterable (with results)","Filtrable (avec résultats)"
"First Name","Prénom"
"Fixed","Fixé"
"For internal use.","Utilisation interne."
"Frontend","Frontend"
"Frontend Model","Modèle du front office"
"Frontend Properties","Propriétés du frontend"
"Gallery","Galerie"
"General Information","Informations générales"
"Get special price","Récupérer le prix spécial"
"Global","Global"
"Globally Editable","Éditable globalement"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Grouped Product","Produit groupé"
"Groups","Groupes"
"Home","Accueil"
"ID","ID"
"ID: %s","ID : %s"
"If empty, the Category Name will be used","Si vide, le nom de la catégorie sera utilisé"
"If empty, the Product Name will be used","Si vide, le nom du produit sera utilisé"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne spécifiez pas de valeur d'option pour une vue magasin spécifique, la valeur par défaut (admin) sera utilisée"
"Image","Image"
"Image content is not valid base64 data.","Les données base64 de l'image ne sont pas valides."
"Image does not exist.","L'image n'existe pas."
"Image file was not found.","Le fichier image n'a pas été trouvé."
"Image type and information need to be specified for each store view.","Le type et les informations d'image doivent être spécifiés pour chaque vue magasin."
"In Stock","En stock"
"In stock","En stock"
"Index product and categories URL rewrites","Réécritures d'URLs de produits et catégories"
"Index product attributes for layered navigation building","Index des attributs produit pour la navigation par filtres"
"Index product prices","Index des tarifs produit"
"Indexed category/products association","Index des associations catégorie/produits"
"Info Column Options Wrapper","Conteneur d'options de colonne d'info"
"Input Type","Type de saisie"
"Integer","Entier"
"Invalid Tier Prices","Prix par palier invalides"
"Invalid attribute %s.","Attribut invalide : %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","L'option d'attribut est invalide pour %s (%s), ligne ignorée."
"Invalid attribute set specified, skipping the record.","Jeu d'attributs invalide, ligne ignorée."
"Invalid block: %s.","Bloc invalide : %s."
"Invalid category IDs.","Identifiants de catégorie invalides."
"Invalid category.","Catégorie invalide."
"Invalid image file type.","Type de fichier image invalide."
"Invalid image type.","Type d'image invalide."
"Invalid option ID specified for %s (%s), skipping the record.","L'identifiant d'option spécifié est invalide pour %s (%s), enregistrement ignoré."
"Invalid product type specified, skipping the record.","Le type de produit spécifié est invalide, enregistrement ignoré."
"Invalid store specified","Magasin spécifié non valide"
"Invalid store specified, skipping the record.","Magasin invalide, ligne ignorée."
"Invalid tier prices. The product is not associated to the requested website.","Prix par palier invalides. Le produit n'est pas associé au site web demandé."
"Invalid transactional email code.","Code email transactionnel invalide."
"Inventory","Inventaire"
"Is Default","Valeur par défaut"
"Is Required","Obligatoire"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Keep your eyes open for our special Back to School items and save A LOT!","Ouvrez grand les yeux et économisez un max !"
"Label","Libellé"
"Last Name","Nom"
"Last Notification","Dernière notification"
"Layered Navigation","Navigation par filtres"
"Learn More","En savoir plus"
"Line %d, Email: %s","Ligne %d, Email : %s"
"Line %d, SKU: %s","Ligne %d, Réf. : %s"
"Link (Related, Up sell, Cross sell)","Lien (produits apparentés, vente incitative, vente croisée)"
"Link product does not exist.","Le produit lié n'existe pas."
"Link to a Specified Category","Lien vers une catégorie spécifique"
"Link to a Specified Product","Lien vers un produit spécifique"
"List","Liste"
"List Mode","Mode d'affichage"
"List of Products that are set as New","Liste des produits configurés comme ""Nouveaux"""
"Manage Attribute Sets","Gérer les jeux d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Categories","Gérer les catégories"
"Manage Label / Options","Gérer les labels/les options"
"Manage Options (values of your attribute)","Gérer les options (valeurs de vos attributs)"
"Manage Product Attributes","Gérer les attributs produit"
"Manage Product Sets","Gérer les ensembles de produits"
"Manage Products","Gérer les produits"
"Manage Stock","Gérer les stocks"
"Manage Titles (Size, Color, etc.)","Gérer les titres (Taille, couleur, etc.)"
"Max Characters","Nombre maxi de caractères"
"Maximal Depth","Profondeur maxi"
"Maximum Image Size","Taille d\'image maximum"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Maximum image height","Hauteur maximum d'image"
"Maximum image width","Largeur maximum d'image"
"Maximum number of characters:","Nombre maxi de caractères :"
"Media Image","Image"
"Minimum Lines per Page","Lignes minimum par page"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Minimum Qty for Item\'s Status to be Out of Stock","Quantité mini pour que l'article soit considéré comme épuisé"
"Missing SKU, skipping the record.","Référence (SKU) manquante, enregistrement ignoré."
"More Views","Plus de vues"
"Move","Déplacer"
"Move category in tree","Déplacer la catégorie dans l'arbre"
"Must be in the allowed values list.","Doit être dans la liste des valeurs autorisées."
"N/A","N/A"
"Name","Nom"
"Name in %s","Nom dans %s"
"New Product","Nouveau produit"
"New Product Attribute","Nouvel attribut produit"
"New Products","Nouveaux produits"
"New Products Grid Template","Gabarit des nouveaux produits sous forme de grille"
"New Products List Template","Gabarit des nouveaux produits sous forme de liste"
"New Root Category","Nouvelle catégorie racine"
"New Search","Nouvelle recherche"
"New Set Name","Nouveau nom de groupe"
"New Subcategory","Nouvelle sous-catégorie"
"Next","Suivant"
"No","Non"
"No image","Pas d'image"
"No layout updates","Pas de modification de l'agencement"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"No product collections found.","Aucune collection de produits trouvée."
"None","Aucun"
"Not Visible Individually","Non visible individuellement"
"Notify Low Stock RSS","Flux RSS de notification de stock"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Number of Products to Display","Nombre de produits à afficher"
"Number of Uses","Nombre d'utilisations"
"Number of results<br/>(For the last time placed)","Nombre de résultats<br/>(lors de la dernière requête)"
"OR","OU"
"Old Price:","Ancien prix :"
"Option validation failed to add product to cart.","La validation d'option a échoué lors de l'ajout du produit au panier."
"Option:","Option :"
"Options Control","Contrôle des options"
"Options is required","Au moins une option doit être créée"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Notre service client est disponible 24h/24 et 7j/7. Appelez-nous au 01 02 03 04 05."
"Out of Stock","Épuisé"
"Out of stock","Épuisé"
"PM","PM"
"Page Title Separator","Séparateur de titre de page"
"Parent Category","Catégorie parente"
"Pending","En attente"
"Pending Reviews RSS","Flux RSS des commentaires en attente"
"Percentage","Pourcentage"
"Please add rows to option.","Veuillez ajouter des lignes à l\'option"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Soyez vigilant, dès que vous cliquerez sur la ligne, les données du package seront chargées et toutes les données non sauvegardées du formulaire seront perdues."
"Please click on the Close Window button if it is not closed automatically.","Cliquez sur le bouton 'Fermer la fenêtre' si celle-ci ne se ferme pas automatiquement."
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Rafraichissez ""Réécriture d'URLs du catalogue"" et ""Attributs de produits"" dans Système -> <a href=""%s"">Gestion des indexes</a>"
"Please select a static block ...","Sélectionnez un bloc statique"
"Please select items.","Sélectionnez des éléments."
"Please select one or more attributes.","Sélectionnez un ou plusieurs attributs"
"Please select product(s).","Sélectionnez un ou des poduits."
"Please select products for attributes update","Sélectionnez les produits pour la mise à jour des attributs"
"Please specify date required option(s).","Spécifiez la ou les option(s) de date obligatoire(s)."
"Please specify the product required option(s)","Veuillez spécifier la (les) option(s) obligatoire(s) de produit"
"Please specify the product required option(s).","Spécifiez la ou les option(s) obligatoire(s)."
"Please specify the product\'s option(s).","Veuillez spécifier les options de produit."
"Please specify the product\'s required option(s).","Veuillez spécifier les options obligatoires du produit."
"Please specify the quantity of product(s).","Spécifiez la quantité de produit(s)."
"Please specify time required option(s).","Spécifiez la ou les option(s) d'heure obligatoire(s)."
"Position","Position"
"Position in Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par filtres"
"Prev","Précédent"
"Previous","Précédent"
"Price Navigation Step Calculation","Type de calcul des tranches de prix"
"Price Type","Type de prix"
"Price is not available","Prix non disponible"
"Price values for options should be specified in system base currency.","Les valeurs de prix pour les options doivent être spécifié dans la devise de base."
"Price:","Prix :"
"Price: %s","Prix : %s"
"Print This Page","Imprimer cette page"
"Product","Produit"
"Product API","API produit"
"Product Alerts","Alertes du produit"
"Product Attribute","Attribut du produit"
"Product Attributes","Attributs de produit"
"Product Categories","Catégories du produit"
"Product Description","Description du produit"
"Product Extra Info","Informations de produit supplémentaires"
"Product Flat Data","Données fixes de produit"
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Product Image Watermarks","Filigranes d'images de produits"
"Product Images","Images de produit"
"Product Images API","API images de produit"
"Product In Websites","Publier dans les sites web"
"Product Info Column","Colonne d'information de produit"
"Product Information","Informations produit"
"Product Link Block Template","Gabarit de lien produit (bloc)"
"Product Link Inline Template","Gabarit de lien produit (en ligne)"
"Product Listing Sort by","Tri des listes de produits"
"Product Name","Produit"
