"REQUEST YOUR QUOTE","ANMOD OM CITAT"
"House Number","Hus Nr"
"Additional Address","Lejlighed Nr/etage"
"Geen betaalinformatie benodigd", "Betalingsinformation ikke nødvendig"
"Log in op uw account", "Log ind på din konto"
"View all topics", "Se alle emner"
"Click here to print a copy of your order confirmation", "Klik her for at se en kopi af din ordrebekræftigelse"
"Sort is toegevoegd aan uw winkelwagen.", "Er nu tilføjet til din kurv."
"Dit emailadres is al in gebruik", "Denne e-mail adresse er allerede tilknyttet en kundekonto"
"U moet inloggen met dit emialdres om te bestellen of een ander emailadres gebruiken om uw bestelling te voltooien.", "Log venligst ind med din e-mail adresse, eller benyt en ny e-mail adreses for at tjekke ud"
"AL KLANT? LOG DAN IN OP UW ACCOUNT", "ALLEREDE KUNDE? LOG IND PÅ DIN KONTO"
"Click on the Faq's topic:", "Oversigt"
"CONTACT", "KONTAKT"
"To get a free sample too, scroll down the page", "Længere nede på denne side kan du anmode om en gratis prøve"
"ANMOD OM CITAT", "Bliv kontaktet"
"Al klant? Log dan in op uw account","Allerede kunde? Log ind på din konto"
"%s is toegevoegd aan uw winkelwagen.","%s er blevet tilføjet til din varekurv."
"You will be redirected to Adyen website when you place an order.","Du vil blive omdirigeret til Adyen's betalingsløsning når du lægger en ordre."
"Click <a href=""%s"">here</a> to print a copy of your order confirmation.","Klik <a href=""%s"">her</a> for at udskrive en kopi af din ordrebekræftelse"
"shipment_text_producing_days_1","Bestil før kl. 16:00 på arbejdsdage og den er klar til afsendelse samme dag."
"shipment_text_producing_days_2","Bestil før kl. 16, klar til afsendelse om 2 hverdage."
"shipment_text_producing_days_3","Bestil før kl. 16, klar til afsendelse om 3 hverdage."
"shipment_text_producing_days_4","Bestil før kl. 16, klar til afsendelse om 4 hverdage."
"shipment_text_producing_days_5","Bestil før kl. 16, klar til afsendelse om 6 hverdage."
"shipment_text_producing_days_8","Bestil før kl. 16, klar til afsendelse om 8 hverdage."
"shipment_text_producing_days_10","Bestil før kl. 16, klar til afsendelse om 10 hverdage."
"color_%s_shipment_text_producing_days_%s","Dette produkt i farven %s, vil være klar til afsendelse om %s hverdag(e)."
"The total production time of the items in your basket is: %s days.","Produkterne i kurven vil være klar til afsendelse om %s hverdag(e)."
"Add a Special Notecard","TILF&Oslash;J EN S&Oslash;D BEM&AElig;RKNING"
"Please type your card text here...","Skriv venligst din tekst her..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Teksten har et maksimum på 5 linier. Brug ikke emojis eller specielle tegn."
"Select a Gift Wrapping","Vælg gaveindpakning"
"Select your gift wrapping","Vælg gaveindpakning"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Lav en gave som man sent glemmer, med en af vores originale indpakningsmuligheder. Din gave vil skinne både udvendigt og indvendigt!"
"No thank you","Nej tak"
"One or more items in your order are not on stock. Your total order will be shipped on %s","En eller flere produkter i din ordre er desværre ikke på lager. Din fulde ordre vil blive afsendt d. %s"
"Company (not mandatory)","Virksomhed (Valgfri)"
"Mage_Catalog::Position", "Popularitet"
"%s - %s","Your order will be delivered between %s and %s"
"upload_photo","Upload photo"
"change_picture","Pick another photo"
"rotate_left","Rotate left"
"rotate_right","Rotate right"
"show_design","Show design"
"case_color","Case colour"
"design_studio_link","For more design options, go to our Design Studio!"
"design_studio_popup_text","Want to add multiple pictures, texts and filters?"
"design_studio_popup_link","Check out our Design Studio"
"Reason for cancelation","Årsag til annullering:"
"Wrong product","I've ordered the wrong product."
"Changed mind","I've changed my mind."
"Please note","Please note that we can only cancel your order if we did not start printing and shipping your product."
"edit_picture","Redigere"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Bemærk</strong>: Captcha skelner mellem store og små bogstaver."
"After number of attempts to login","Efter antal forsøg på login"
"Always","Altid"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutter)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA for formularerne ""opret bruger"" and ""glemt kodeord"" er altid aktiveret hvis valgt"
"Case Sensitive","Forskel på store og små bogstaver"
"Displaying Mode","Visning"
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i admin"
"Enable CAPTCHA on Frontend","Aktiver CAPTCHA i frontend"
"Font","Skrifttype"
"Forms","Formularer"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Hvis 0 angives vil CAPTCHA altid være tilgængelig i loginformularen."
"Incorrect CAPTCHA.","Forkert CAPTCHA."
"Number of Symbols","Antal symboler"
"Number of Unsuccessful Attempts to Login","Antal fejlforsøg på login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Angiv maksimalt 8 symboler. Tilladt interval (f.eks. 3-5)"
"Please type the letters from the image:","Indtast bogstaverne fra billedet:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Brug kun bogstaver (a-z eller A-Z) eller tal (0-9) i dette felt. Mellemrum eller øvrige tegn er ikke tilladt.<br />Tegn der let kan forveksles (f.eks. ""i"", ""l"", ""1"") forringer kundens chance for korrekt genkendelse."
"Reload captcha","Genindlæs captcha"
"Symbols Used in CAPTCHA","Symboler der anvendes i CAPTCHA"
"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s vare(r)"
"%s and above","%s og derover"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"* Required Fields","* Påkrævede felter"
"-- Please Select --","-- Vælg venligst --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 som standard. Tøm blok-HTML-cachen for at opdatere med det samme."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Advarsel!</strong> Aktivering af MAP skjuler alle produktpriser fra frontend."
"A group with the same name already exists.","En gruppe med dette navn eksisterer allerede."
"A name is required","Navn skal udfyldes"
"A product type is not defined for the indexer.","En produkttype er ikke defineret for indekseringen."
"ALL GROUPS","ALLE GRUPPER"
"AM","AM"
"Action","Handling"
"Actual Price","Faktisk pris"
"Add Attribute","Tilføj egenskab"
"Add Design Change","Tilføj designændring"
"Add Group","Tilføj gruppe"
"Add Group Price","Tilføj gruppepris"
"Add New","Tilføj ny"
"Add New Attribute","Tilføj ny egenskab"
"Add New Attribute Set","Tilføj nyt egenskabssæt"
"Add New Group","Tilføj ny gruppe"
"Add New Images","Tilføj nye billeder"
"Add New Option","Tilføj ny valgmulighed"
"Add New Row","Tilføj række"
"Add New Search Term","Tilføj nyt søgeord"
"Add New Set","Tilføjt nyt sæt"
"Add Product","Tilføj produkt"
"Add Product To Websites","Tilføj produkt til websites"
"Add Root Category","Tilføj rodkategori"
"Add Subcategory","Tilføj underkategori"
"Add Tax","Tilføj moms"
"Add Tier","Tilføj interval"
"Add attribute into attribute set","Tilføj egenskab til egenskabssæt"
"Add group into attribute set","Tilføj gruppe til egenskabssæt"
"Add new custom option into product","Tilføj ny tilpasningsmulighed til produktet"
"Add new values into custom option","Tilføj nye værdier til tilpasningsmuligheden"
"Add option","Tilføj valgmulighed"
"Add to Compare","Sammenlign"
"Add to Wishlist","Sæt på ønskeseddel"
"Additional Information","Yderligere information"
"Alert Urls","Advarsels-URLs"
"All Product Types","Alle produkt typer"
"All Websites","Alle websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle produkter med dette sæt vil blive slettet! Er du sikker på at du vil slette dette egenskabssæt?"
"Allow All Products per Page","Tillad alle produkter per side"
"Allow Dynamic Media URLs in Products and Categories","Tillad dynamiske medie-URLs i produkter og kategorier"
"Allow HTML Tags on Frontend","Tillad HTML-tags på frontend"
"Allowed File Extensions","Tilladte filtyper"
"Allowed file extensions to upload","Tilladte filtyper til upload"
"An error occurred while adding products to websites.","Fejl ved tilknytning af produkter til websites."
"An error occurred while clearing comparison list.","Fejl ved tømning af sammenligningslisten.."
"An error occurred while deleting this review.","Fejl ved sletning af denne bedømmelse."
"An error occurred while removing products from websites.","Fejl ved sletning af produkter fra websites."
"An error occurred while saving the URL rewrite","Fejl ved lagring af URL-omskrivning"
"An error occurred while saving the attribute set.","Fejl ved sletning af egenskabssættet."
"An error occurred while saving the collection, aborting. Error message: %s","Fejl ved lagring af kollektionen. Fejlbesked: %s"
"An error occurred while saving the product. ","Fejl ved lagring af produktet."
"An error occurred while saving the search query.","Fejl ved lagring af søgeudtrykket."
"An error occurred while saving this group.","Fejl ved lagring af gruppen."
"An error occurred while saving this review.","Fejl ved lagring af bedømmelsen."
"An error occurred while trying to delete the category.","Fejl ved sletning af kategorien."
"An error occurred while updating the product(s) attributes.","Fejl ved opdatering af produktegenskaberne."
"An error occurred while updating the product(s) status.","Fejl ved opdatering af produktstatus."
"An invalid group ID is specified, skipping the record.","En ugyldig gruppe ID er specificeret, springer række over."
"An invalid option ID is specified for %s (%s), skipping the record.","Ugyldig option ID for %s (%s), springer posten over."
"An invalid store was specified.","Ugyldig forretning angivet."
"Anchor Custom Text","Linktekst"
"Anchor Custom Title","Linktitel"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Gælder kun for produkter og kategorier. Alle medier indsættes i editoren med en statisk URL. Den opdateres ikke hvis rod-URL'en ændres i konfigurationen."
"Apply MAP (Default Value)","Anvend MAP (standardværdi)"
"Apply To","Brug til"
"Approved","Godkendt"
"Are you sure you want to delete this category?","Er du sikker på, at kategorien skal slettes?"
"Are you sure you would like to remove all products from your comparison?","Er du sikker på at du vil fjerne alle produkter fra din sammenligning?"
"Are you sure you would like to remove this item from the compare products?","Er du sikker på at du vil fjerne denne vare fra sammenligningslisten?"
"Are you sure?","Er du sikker?"
"As low as:","Ned til:"
"Assign","Tildel"
"Assign product link","Tildel produktlink"
"Assign product to category","Tilknyt produkt til kategori"
"Assigned Products","Tilknyttede produkter"
"Associated Products","Underprodukter"
"Attrib. Set Name","Sæt af egenskaber"
"Attribute ""%s"" is invalid.","Egenskaben ""%s"" er ugyldig."
"Attribute ""%s"" is required.","Egenskaben ""%s"" er obligatorisk"
"Attribute Information","Egenskab - detaljer"
"Attribute Model","Egenskabsmodel"
"Attribute Name:","Navn:"
"Attribute Set","Egenskabssæt"
"Attribute Sets","Egenskabssæt"
"Attribute add","Tilføj egenskab"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Ugyldig egenskabskode. Brug kun bogstaver (a-z), tal (0-9) eller underscore(_) i dette felt, og første tegn skal være et bogstav."
"Attribute group with the \""/name/\"" name already exists","Der eksisterer allerede en egenskabsgruppe med navnet \""/name/\"""
"Attribute remove","Fjern egenskab"
"Attribute with the same code already exists","Egenskab med samme kode findes allerede"
"Attributes","Produktegenskaber"
"Attrribute names can be specified per store.","Egenskabsnavne kan specificeres for hver butik"
"Autogenerate","Autogenerer"
"Availability:","Lagerstatus:"
"Back","Gå tilbage"
"Backend Model","Model (backend)"
"Backend Table","Tabel (backend)"
"Backend Table Title","Tabeltitel (backend)"
"Backorders","Restordrer"
"Based On","Baseret på"
"Before Order Confirmation","Før bekræftelse af ordre"
"Best Value","Bedste køb"
"Block after Info Column","Blok efter infosøjle"
"Bottom Block Options Wrapper","Bundblok options wrapper"
"Bottom/Left","Bunden/venstre"
"Bottom/Right","Bunden/højre"
"Browse By","Vis efter"
"Bundle Items","Gruppér elementer"
"Buy %1$s","Køb %1$s"
"Buy %1$s for","Køb %1$s for"
"Buy %1$s for %2$s","Køb %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Køb %1$s for %2$s (%3$s inkl. moms) pr. styk"
"Buy %1$s for %2$s each","Køb %1$s for %2$s pr. stk."
"Cache Lifetime (Seconds)","Cachens levetid (sekunder)"
"Cache refresh needed.","En cacheopdatering er nødvendig."
"Can be Divided into Multiple Boxes for Shipping","Kan opdeles i flere kasser til forsendelse"
"Can be used only with catalog input type Dropdown","Kan kun bruges med dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun bruges med dropdown, multiselect og pris"
"Can\'t create image.","Kan ikke oprette billede."
"Cancel","Annullér"
"Cannot create image.","Kan ikke oprette billede."
"Cannot create writeable directory '%s'.","Kan ikke oprette den skrivbare mappe '%s'"
"Cart Item Attribute","Egenskab for vare i kurv"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategori (filtreret)"
"Catalog Category (Non-Anchor)","Kategori (ikke filtreret)"
"Catalog Category (Without Subcategories)","Kategori (uden underkategorier)"
"Catalog Category Link","Kategorilink"
"Catalog New Products List","Produktliste - nye produkter"
"Catalog Price Scope","Definitionsniveau for katalogpriser"
"Catalog Product Compare List","Produktsammenligningsliste"
"Catalog Product Email to a Friend","Send produkt til en ven"
"Catalog Product Image Gallery Popup","Popup-billedgalleri for produkt"
"Catalog Product Link","Produktlink"
"Catalog Product View (Any)","Produktside (alle)"
"Catalog Product View (Configurable)","Produktside (konfigurerbare)"
"Catalog Product View (Grouped)","Produktside (grupperede)"
"Catalog Product View (Simple)","Produktside (simple)"
"Catalog Product View (Virtual)","Produktside (virtuelle)"
"Catalog Section","Katalogsektion"
"Catalog Seo Sitemap (Category List)","SEO sitemap (kategoriliste)"
"Catalog Seo Sitemap (Category Tree)","SEO sitemap (kategoritræ)"
"Catalog Seo Sitemap (Common)","SEO sitemap (katalog)"
"Catalog Seo Sitemap (Product List)","SEO sitemap (produktliste)"
"Catalog URL Rewrites","URL-omskrivninger for katalog"
"Catalog product custom option values API","Produkt-tilpasningsmuligheder-værdier API"
"Catalog product custom options API","Produkt-tilpasningsmuligheder API"
"Catalog, Search","Katalog, søgning"
"Categories","Kategorier"
"Categories Sitemap","Sitemap for kategorier"
"Category","Kategori"
"Category API","Kategori-API"
"Category Data","Kategori - detaljer"
"Category Flat Data","Flade kategoridata"
"Category Link Block Template","Kategorilink blokskabelon"
"Category Link Inline Template","Kategorilink inline"
"Category Products","Kategoriers produkter"
"Category Top Navigation","Topnavigation for kategorier"
"Category URL Suffix","Suffix for kategori-URLs"
"Category attributes API","Kategoriegenskabs-API"
"Category move error","Fejl - kategorien kunne ikke flyttes"
"Category move operation is not possible: parent category is equal to child category.","Kategorien kan ikke flyttes: Overkategorien er den samme som underkategorien."
"Category move operation is not possible: the current category was not found.","Kategorien kan ikke flyttes: Den aktuelle kategori kunne ikke findes."
"Category move operation is not possible: the new parent category was not found.","Kategorien kan ikke flyttes: Den nye overkategori kunne ikke findes."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorien skal være en instans af Mage_Catalog_Model_Category."
"Center","Center"
"Change","Rediger"
"Change or Retrieve attribute store view","Rediger eller hent forretningsvisning for egenskab"
"Change status","Ændre status"
"Check items to add to the cart or","Afkryds produkter for at lægge i kurv eller"
"Choose an Option...","Vælg venligst..."
"Clear All","Ryd alle"
"Clear Price","Ryd pris"
"Click for price","Klik for pris"
"Close Window","Luk vindue"
"Collapse All","Sammenfold alle"
"Comma-separated.","Kommasepareret."
"Comparable","Kan sammenlignes"
"Comparable on Front-end","Kan sammenlignes"
"Comparable on the Frontend","Sammenlignelig i frontend"
"Compare","Sammenlign"
"Compare Products","Sammenlign produkter"
"Conditions Combination","Betingelses-kombination"
"Configurable Product","Konfigurerbart produkt"
"Configurable Product Settings","Konfigurerbare produktindstillinger"
"Configure Product","Konfigurér produkt"
"Continue","Fortsæt"
"Copy From Configurable","Kopier fra konfigurerbar"
"Country/State","Land/stat"
"Create","Opret"
"Create (Upload)","Opret (upload)"
"Create Empty","Opret tom"
"Create Permanent Redirect for URLs if URL Key Changed","Opret permanent redirect for URLs hvis URL-nøgle ændres"
"Create Permanent Redirect for old URL","Opret permanent redirect for gammel URL"
"Create Product Settings","Opret produktindstillinger"
"Create Simple Associated Product","Opret simpelt tilknyttet produkt"
"Create attribute set based on another set","Opret egenskabssæt baseret på et andet sæt"
"Create new attribute","Opret ny egenskab"
"Create new category","Opret ny kategori"
"Create new product","Opret nyt produkt"
"Cross-sells","Krydssalg"
"Custom Design","Eget design"
"Custom Options","Tilpasningsmuligheder"
"Custom options","Tilpasningsmuligheder"
"Customer Group","Kundegruppe"
"Customers Reviews","Kunders bedømmelser"
"Customers Tagged Product","Kunder, der har tagget produktet"
"Data Type for Saving in Database","Datatype til at gemme i databasen"
"Date & Time Custom Options","Indstillinger for dato og tid"
"Date Fields Order","Rækkefølge for datofelt"
"Date Subscribed","Dato tilmeldt"
"Datetime","Dato og tidspunkt"
"Decimal","Decimal"
"Declare attribute value saving scope","Angiv området, hvor egenskabens værdi gemmes"
"Default ""What's This"" Text Message","Standardbesked for ""hvad er dette"""
"Default Popup Text Message","Standard-popupbesked"
"Default Price","Standard pris"
"Default Price Navigation Step","Standard prisnavigationstrin"
"Default Qty","Antal (standard)"
"Default Values","Standardværdier"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definerer basisvaluta (""Valutaindstillinger"" > ""Valutamuligheder"" > ""Basisvaluta"")."
"Delete","Slet"
"Delete Attribute","Slet egenskab"
"Delete Attribute Set","Slet sæt"
"Delete Category","Slet kategori"
"Delete Group Price","Slet gruppepris"
"Delete Option","Slet mulighed"
"Delete Row","Slet række"
"Delete Search","Slet søgning"
"Delete Selected Group","Slet valgt gruppe"
"Delete Tier","Slet prisrække"
"Delete attribute","Slet egenskab"
"Delete category","Slet kategori"
"Delete product","Slet produkt"
"Depends on design theme","Afhænger af designtema"
"Design","Design"
"Details","Detaljer"
"Disabled","Inaktiv"
"Disallowed file type.","Ulovlig filtype."
"Display Actual Price","Vis faktisk pris"
"Display Price Interval as One Price","Vis prisinterval som én pris"
"Display Product Count","Vis produktantal"
"Display in Suggested Terms","Vis i foreslået udtryk"
"Double click on a group to rename it","Dobbeltklik på en gruppe for at omdøbe den"
"Double click on above image to view full picture","Dobbeltklik på ovenstående billede for at se i fuld størrelse"
"Downloadable Information","Download Information"
"Duplicate","Kopier"
"Duplicate website group price customer group.","Dupliker websitets kundegruppepris."
"Duplicate website tier price customer group and quantity.","Dupliker website pristrin kundegruppe og antal"
"Duplicate website, country and state tax found.","Dupliker website, land og fundet statsmoms."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","F.eks. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Parsing af dynamiske stier har indflydelse på ydelsen."
"Edit","Rediger"
"Edit Attribute Set '%s'","Rediger egenskabssæt '%s'"
"Edit Product Attribute","Rediger produktegenskab"
"Edit Product Attribute ""%s""","Rediger produktegenskaben ""%s"""
"Edit Search","Rediger søgning"
"Edit Search '%s'","Rediger søgning '%s'"
"Edit Set Name","Rediger sætnavn"
"Email","E-mail"
"Email to a Friend","Tip en ven"
"Empty","Tom"
"Enable MAP","Aktiver MAP"
"Enable Qty Increments","Aktiver mængdetrin"
"Enable WYSIWYG","Aktiver WYSIWYG"
"Enabled","Aktiv"
"Error during retrieval of option value: %s","Værdi for mulighed %s kunne ikke hentes"
"Exclude","Udelad"
"Expand All","Udfold alle"
"Failed","Fejl"
"Failed to move file: %s","Kunne ikke flytte filen: %s"
"Feature Products","Fremhævede produkter"
"Field is not complete","Feltet er ikke færdiggjort"
"File options format is not valid.","Ugyldigt filformat"
"File upload failed","Filupload mislykkedes"
"Filter model name must be declared.","Giv venligst filteret et navn"
"Filter must be an object. Please set correct filter.","Filteret skal være et objekt. Vælg et korrekt filter."
"Filterable (no results)","Kan filtreres (uden søgeresultat)"
"Filterable (with results)","Kan filtreres (med søgeresultat)"
"First Name","Fornavn"
"Fixed","Fast"
"For internal use.","Til internt brug."
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Model (front-end)"
"Frontend Properties","Egenskaber (front-end)"
"Gallery","Galleri"
"General Information","Indhold"
"Get full information about attribute with list of options","Få fuld information om egenskaben med liste over værdier"
"Get full information about custom option in product","Få fuld information om tilpasningsmuligheder i produkt"
"Get list of available custom option types","Få liste over tilgængelige tilpasningsmuligheder"
"Get list of non-default attributes by product type and attributes set","Få liste over ikke-standardegenskaber for produkttype og egenskabssæt"
"Get list of possible attribute types","Få liste over mulige egenskabstyper"
"Get special price","Hent specialpris"
"Global","Global"
"Globally Editable","Redigerbar (globalt)"
"Go to Home Page","Gå til forside"
"Grid","Tabel"
"Group add","Tilføj gruppe"
"Group remove","Fjern gruppe"
"Grouped Product","Grupperet produkt"
"Groups","Grupper"
"Home","Home"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Hvis tom benyttes kategorinavnet"
"If empty, the Product Name will be used","Hvis tom benyttes produktnavnet"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Hvis du ikke angiver en værdi for en forretning bruges standardværdien."
"Image","Billede"
"Image content is not valid base64 data.","Billeddata er ikke gyldig base64 data."
"Image does not exist.","Billedet eksisterer ikke."
"Image file was not found.","Billedfilen kunne ikke findes."
"Image type and information need to be specified for each store view.","Billedtype og -information skal specificeres for hver visning af forretning."
"In Cart","I kurven"
"In Stock","På lager"
"In stock","På lager"
"Index product and categories URL rewrites","Indekser URL-omskrivninger for produkter og kategorier"
"Index product attributes for layered navigation building","Indekser produktegenskaber for filtreret navigation"
"Index product prices","Indekser produktpriser"
"Indexed category/products association","Indekseret kategori/produkttildeling"
"Info","Info"
"Info Column Options Wrapper","Infokolonne, blok med valgmuligheder"
"Input Type","Inputtype"
"Integer","Heltal"
"Interval Division Limit","Grænse for intervalopdeling"
"Invalid Tier Prices","Ugyldig mængderabat"
"Invalid attribute %s","Ugyldig egenskab %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ugyldig værdi i mulighed for egenskab %s (%s), posten springes over…"
"Invalid attribute set specified, skipping the record.","Ugyldigt sæt af egenskaber, posten springes over…"
"Invalid block: %s.","Ugyldig blok: %s"
"Invalid category IDs.","Ugyldigt kategori-ID"
"Invalid category.","Ugyldig kategori"
"Invalid image file type.","Ugyldig billedfiltype"
"Invalid image type.","Ugyldig billedtype."
"Invalid option ID specified for %s (%s), skipping the record.","Ugyldigt option ID angivet for %s (%s), springer posten over."
"Invalid product type specified, skipping the record.","Ugyldig produkttype, posten springes over…"
"Invalid store specified","Ugyldig butik specificeret"
"Invalid store specified, skipping the record.","Ugyldig forretning specificeret, posten springes over…"
"Invalid tier prices. The product is not associated to the requested website.","Ugyldig mængderabat. Produktet er ikke tilknyttet til det valgte website."
"Inventory","Lager"
"Is Default","Er standard"
"Is Required","Er påkrævet"
"Items %1-%2 of %3 total","Varer %1-%2 af %3 i alt"
"%1 Item","%1 Vare"
"%1 Items","%1 Varer"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som du ikke vil vise i kataloget eller i søgninger skal sættes til 'Inaktiv' i den ønskede forretning."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som du ikke vil have skal vises i kataloget eller under søgning skal have sat status som Deaktiveret"" i den ønskede butik."""
"Keep your eyes open for our special Back to School items and save A LOT!","Hold øje med vores skolestartstilbud og spar penge!"
"Label","Etiket"
"Last Name","Efternavn"
"Last Notification","Sidste notifikation"
"Layered Navigation","Filtreret navigation"
"Learn More","Vis detaljer"
"Line %d, Email: %s","Linie %d, Email: %s"
"Line %d, SKU: %s","Linie %d, varenummer: %s"
"Link (Related, Up sell, Cross sell)","Link (relateret, opsalg, krydssalg)"
"Link product does not exist.","Linket produkt eksisterer ikke."
"Link to a Specified Category","Link til en bestemt kategori"
"Link to a Specified Product","Link til et bestemt produkt"
"List","Liste"
"List Mode","Listevisning"
"List of Products that are set as New","Liste over produkter sat til ny"
"List of types","Liste over typer"
"Manage Attribute Sets","Egenskabssæt"
"Manage Attributes","Egenskaber"
"Manage Catalog Categories","Kategorier til katalog"
"Manage Categories","Kategorier"
"Manage Label / Options","Rediger labels"
"Manage Options (values of your attribute)","Administrer muligheder"
"Manage Product Attributes","Produktegenskaber"
"Manage Product Sets","Produktsæt"
"Manage Products","Produkter"
"Manage Stock","Administrer lager"
"Manage Titles (Size, Color, etc.)","Rediger titler (Størrelse, Farve, etc.)"
"Max Characters","Maks tegn"
"Maximal Depth","Maks dybde"
"Maximum Image Size","Maksimal billedstørrelse"
"Maximum Number of Price Intervals","Maksimalt antal prisintervaller"
"Maximum Qty Allowed in Shopping Cart","Max-antal tilladt i indkøbskurv"
"Maximum allowed image size for '%s' is %sx%s px.","Maksimal tilladt billedstørrelse for '%s' er %sx%s px."
"Maximum allowed image size for '%s' is %sx%s px.","Den maksimale tilladte billedstørrelse for '%s' er %sx%s px."
"Maximum image height","Maksimal billedhøjde"
"Maximum image width","Maksimal billedbredde"
"Maximum number of characters:","Maksimalt antal tegn:"
"Maximum number of price intervals is 100","Maksimalt antal prisintervaller er 100"
"Media Image","Mediebillede"
"Minimum Advertised Price","Minimal annonceret pris (Minimum Advertised Price)"
"Minimum Lines per Page","Minimum linier pr. side"
"Minimum Qty Allowed in Shopping Cart","Min-antal tilladt i indkøbskurv"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum antal for at varens status er ikke på lager"
"Missing SKU, skipping the record.","Manglende SKU, posten springes over"
"More Views","Flere visninger"
"Move","Flyt"
"Move category in tree","Flyt kategori i træet"
"Must be in the allowed values list.","Skal være i listen over tilladte værdier."
