"REQUEST YOUR QUOTE","RICHIEDI IL TUO PREVENTIVO"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Fai un regalo che colpisce scegliendo tra le nostre carte regalo. Il tuo regalo sarà brillante all'interno e all'esterno!"
"No thank you","No, grazie"
"One or more items in your order are not on stock. Your total order will be shipped on %s","Uno o più articoli nel tuo ordine non sono in stock. Il vostro ordine completo verrà spedito il %s"
"Il codice sconto ""%s"" è stato applicato.","Il codice sconto ""%s"" sarà applicato al check out o alla pagina di pagamento"
"Mage_Catalog::Position","I più venduti"
"Delete Account","Cancella l'account"
"Your account has been successfully deleted and/or anonymised.","Il tuo account è stato cancellato con successo e/o reso anonimo"
"If you proceed to delete your account, all account data we hold about you will be destroyed or anonymised. This operation cannot be un-done.","Se procedi con la cancellazione del tuo account, tutti i tuoi dati che abbiamo saranno distrutti o resi anonimi. Questa operazione non può essere annulata."
"Delete my account","Cancella il mio account"
"Make a picture of your purchase to clearly illustrate your issue","Carica una foto del tuo acquisto per mostrare chiaramente il problema"
"Type your comment in 200 characters here...","Scrivi un commento qui, max. 200 caratteri"
"Upload","Carica"
"2nd Line Address","Informazioni aggiuntive"
"not_tracked","Non tracciato"
"tracked_without_sign","Tracciato senza firma"
"tracked_with_sign","Tracciato con firma"
"moneyback_guarantee","Consegna garantita"
"House No.","Numero"
"Your order is expected to be ready for shipping on %s","Il tuo ordine sarà pronto per la spedizione il %s"
"Continue Shopping","Continua gli acquisti"
"Proceed to Checkout","Procedi all'ordine"
"Street","Via"
"Create account for later use","Crea un account per un uso successivo"
"Delivery","Metodo di spedizione"
"Estimated delivery:","Consegna stimata:"
"Estimated delivery","Consegna stimata"
"Collect from a pick-up point","Spedisci ad un pick-up point"
"Collect your parcel at a time that is convenient for you","Ritira il tuo pacco all'orario che ti è più comodo"
"No invoice included in the parcel","La fattura non sarà spedita nel pacco"
"Order now and your order will be shipped on %s!","Ordina ora e il tuo ordine verrà spedito il %s!"
"Order now and your order will be shipped on %1!","Ordina ora e il tuo ordine verrà spedito il %1!"
"%s - %s","tra il %s e il %s"
"We expect to ship your order on %s and your order will be delivered on %s","Ci aspettiamo di spedire il tuo ordine il %s e sarà consegnato il %s"
"We expect to ship your order on %s and your order will be delivered between %s and %s","Ci aspettiamo di spedire il tuo ordine il %s e sarà consegnato tra il %s e il %s"
"upload_photo","Upload picture"
"change_picture","Pick another picture"
"rotate_left","Rotate left"
"rotate_right","Rotate right"
"show_design","Show design"
"case_color","Case color"
"design_studio_link","For more design options, go to our Design Studio!"
"design_studio_popup_text","Want to add multiple pictures, texts and filters?"
"design_studio_popup_link","Check out our Design Studio"
"Reason for cancelation","Motivo della cancellazione:"
"Wrong product","Ho ordinato il prodotto sbagliato "
"Changed mind","Ho cambiato idea"
"Please note","Si prega di notare che la cancellazione dell’ordine è possibile solo nel caso in cui non siano stati avviati i processi di stampa e di spedizione del tuo prodotto"
"edit_picture","Modifica"
"Design now!","Personalizzare!"
"Checkout","Procedi all'ordine"
"Edit","Modifica"
"Shopping Cart","Carello"
"Add Your Review","Aggiungi la tua recensione"
"Write Your Own Review","Aggiungi la tua recensione"
"Details","Dettagli"
"More Information","Ulteriori Informazioni"
"How Do I Make My Own Custom Case","Come Creare Il Mio Prodotto Personalizzato"
"Business Order?","Ordine Aziendale?"
"Summary","Riepilogo Della Tua Recensione"
"Submit Review","Invia Recensione"
"Recently added item(s)","Articoli aggiunti di recente"
"Subtotal","Subtotale"
"Grand Total","Totale Complessivo"
"%value%' appears to be a DNS hostname but cannot extract TLD part","%value%' sembra essere un hostname DNS ma è impossibile estrarre la parte TLD"
"%value%' appears to be a DNS hostname but cannot match TLD against known list","%value%' sembra essere un hostname DNS ma non c\'è corrispondenza con la lista TLD nota"
"%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","%value%' sembra essere un hostname DNS ma non c\'è corrispondenza con lo schema hostname per TLD '%tld%'"
"%value%' appears to be a DNS hostname but contains a dash in an invalid position","%value%' sembra essere un hostname DNS ma contiene un trattino in una posizione non valida"
"%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","%value%' sembra essere un hostname DNS ma la notazione punycode fornita non può essere decodificata"
"%value%' appears to be a local network name but local network names are not allowed","%value%' sembra essere un nome di un network locale ma i nomi dei network locali non sono permessi"
"%value%' appears to be an IP address, but IP addresses are not allowed","%value%' sembra essere un indirizzo IP, ma gli indirizzi IP non sono permessi"
"%value%' does not appear to be a valid local network name","%value%' non sembra essere un nome valido per un network locale"
"* Required Fields","* Campi obbligatori"
"ALL GROUPS","TUTTI I GRUPPI"
"Account Dashboard","Bacheca Account"
"Account Information","Informazioni account"
"Account Sharing Options","Opzioni di condivisione account"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Conferma account richiesto. Per favore, controlla la tua e-mail per il link di conferma.. Per rinviare l\'email di conferma  <a href=""%s"">clicca qui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""""%s"""">click here</a>.","Conferma account richiesto. Per favore, controlla la tua e-mail per il link di conferma.. Per rinviare l'email di conferma  <a href=""%s"">clicca qui</a>."
"Action","Azione"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Customer","Aggiungi nuovo cliente"
"Add New Customer Group","Aggiungi nuovo gruppo cliente"
"Added From","Aggiunto da"
"Additional Address Entries","Voci indirizzi aggiuntivi"
"Address","Indirizzi"
"Address Book","Rubrica"
"Address Books","Rubriche"
"Address Information","Informazioni indirizzo"
"Address Templates","Templates indirizzo"
"Addresses","Indirizzi"
"Admin","Amministratore"
"All","Tutto"
"All Store Views","Visualizza tutti i negozi"
"All countries","Tutti i paesi"
"Always optional.","Sempre opzionale."
"Amount","Importo"
"An error occurred while deleting the address.","Errore durante la cancellazione dell\'indirizzo."
"An error occurred while retrieving the option value: %s.","Errore durante il recupero della scelta del valore: %s."
"An error occurred while saving the collection, aborting. Error: %s","Errore durante il salvataggio della collezione, annullamento in corso Errore: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Specificata opzione ID non valida per %s (%s), la registrazione verrà saltata."
"Approved","Approvato"
"Are you sure that you want to remove this item?","Sei sicuro di voler rimuovere questo oggetto?"
"Are you sure you want to cancel adding of this address?","Sei sicuro di voler annullare l'aggiunta per questo indirizzo?"
"Are you sure you want to delete this address?","Sei sicuro di voler cancellare questo indirizzo?"
"Are you sure?","Sei sicuro?"
"Array of Entity collections is expected.","Insieme di collezione entità in attesa."
"Assign a Customer Group","Assegna ad un gruppo cliente."
"Average Sale","Media saldo"
"Back","Torna indietro"
"Back - link to the previously viewed page","Indietro - link alla pagina precedente visualizzata"
"Back to Login","Vai al Log in"
"Bad request.","Richiesta errata."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Basato sul numero di partita IVA, il cliente appartiene al gruppo cliente %s."
"Bill to Name","Fattura a nome di"
"Bought From","Comprato su"
"CSV","CSV"
"Cancel","Cancella"
"Cannot save a new password.","Impossibile salvare una nuova password."
"Cannot save address.","Impossibile salvare indirizzo."
"Cannot save the customer.","Impossibile salvare il cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossibile condividere globalmente gli account perché esistono alcuni account cliente col la stessa email su più siti e non possono essere incorporati."
"Change Account Password","Cambia password account"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Change Password","Cambia password account"
"Change Shipping Address","Cambia indirizzo spedizione"
"City","Città"
"Company","Società (optonnel)"
"Config","Configura"
"Configure","Configura"
"Confirm New Password","Conferma nuova password"
"Confirm Password","Conferma password"
"Confirmation Link Email","Link di conferma email"
"Confirmed","Confermato"
"Contact Information","Informazioni contatto"
"Country","Paese"
"Create","Crea"
"Create New Account Options","Opzioni Creazione Nuovo Account"
"Create New Customer Account","Crea un nuovo account cliente"
"Create Order","Crea ordine"
"Create an Account","Crea un account"
"Create customer","Crea cliente"
"Create customer address","Crea indirizzo cliente"
"Created From","Creato da"
"Current Admin Password","Password Admin Corrente"
"Current Password","Password corrente"
"Customer","Cliente"
"Customer API","API cliente"
"Customer Account Edit Form","Modifica Campo Account Cliente"
"Customer Account Login Form","Campo d'accesso Account Cliente"
"Customer Account Logout Success","Logout Account Cliente Completato"
"Customer Account Registration Form","Campo Registrazione Account Cliente"
"Customer Addresses","Indirizzi Cliente"
"Customer Configuration","Configurazione Cliente"
"Customer Forgot Password Form","Campo Password persa Cliente"
"Customer Group","Gruppo Cliente"
"Customer Groups","Gruppi Clienti"
"Customer Information","Informazione Clienti"
"Customer Login","Accesso Cliente"
"Customer My Account (All Pages)","Il mio Account del cliente (tutte le pagine)"
"Customer My Account Address Book","Rubrica area Mio Account del cliente"
"Customer My Account Address Edit Form","Modifica campo Indirizzo dell'area Mio Account del cliente"
"Customer My Account Dashboard","Bacheca il Mio Account del cliente"
"Customer Since","Cliente dal"
"Customer View","Visualizzazione Cliente"
"Customer collection expected.","Collezione cliente  in attesa."
"Customer email is required.","È richiesta l'email del cliente."
"Customer website ID must be specified when using the website scope.","ID sito cliente deve essere specificato usando il campo di applicazione del sito."
"Customer will stay on the current page if ""No"" is selected.","Il cliente resterà nella pagina corrente se “No” è selezionato."
"Customers","Clienti"
"Customers Only","Solo clienti"
"Customers Section","Sezione Clienti"
"DD","DD"
"Date","Data"
"Date Added","Data aggiunta"
"Date of Birth","Data di nascita"
"Day","Giorno"
"Days in Wishlist","Giorni nella wishlist"
"Default Addresses","Indirizzi predefiniti"
"Default Billing Address","Indirizzo di fatturazione predefinito"
"Default Email Domain","Dominio Email predefinito"
"Default Group","Gruppo predefinito"
"Default Shipping Address","Indirizzo di spedizione predefinito"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valore predefinito per il campo ""Disabilitare automaticamente il cambio di gruppo in base al numero di partita IVA"""
"Default Welcome Email","Email di benvenuto predefinita"
"Delete","Cancella"
"Delete Address","Cancella indirizzo"
"Delete Customer","Cancella Cliente"
"Delete Customer Group","Cancella gruppo Cliente"
"Delete customer","Cancella Clienti"
"Delete customer address","Cancella indirizzo Cliente"
"Deleted Stores","Cancella negozi"
"Details","Dettagli"
"Disabled","Disattivato"
"Edit Account Info","Modifica informazioni account"
"Edit Account Information","Modifica informazioni account"
"Edit Address","Modifica indirizzo"
"Edit Address Entry","Modifica voce indirizzo"
"Edit Customer Group """"%s""""","Modifica gruppo cliente ""%s"""
"Edit Customer Groups","Modifica gruppi cliente"
"Edit Customer's Address","Modifica indirizzo cliente"
"Edit Group","Modifica gruppo"
"Edit Newsletters","Modifica newsletter"
"Email","Email"
"Email Address","Indirizzo email"
"Email Sender","Email mittente"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Abilita assegnamento automatico ad un gruppo cliente"
"Entity collection is expected.","Collezione entità in attesa"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Conferma account cliente fallita"
"Fax","Fax"
"First Name","Nome"
"Forgot Email Template","Template email dimenticata"
"Forgot Password","Password dimenticata"
"Forgot Your Password","Hai dimenticato la password"
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot and Remind Email Sender","Dimentica e ricorda mittente email"
"Form Fields Before","Prima i campi del modulo"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dalla bacheca del tuo account hai la possibilità di vedere tutte le tue recenti attvità ed è possibile aggiornare le informazioni personali. Nel caso in cui volessi verificare o modificare alcuni tuoi dati, seleziona uno dei seguenti link."
"Gender","Sesso"
"Gender is required.","Sesso è un campo obbligatorio."
"General Subscription","Generale iscrizione"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Globale"
"Group","Gruppo"
"Group Information","Informazioni gruppo"
"Group Name","Nome gruppo"
"Group for Invalid VAT ID","Gruppo per numero partita IVA non valida"
"Group for Valid VAT ID – Domestic","Gruppo per numero di partita IVA valido – Interno"
"Group for Valid VAT ID – Intra-Union","Gruppo per numero di partita IVA valido – Intra-Union"
"Guest","Ospite"
"HTML","HTML"
"Hello, %1!","Ciao, %1!"
"ID","ID"
"IP Address","Indirizzo IP"
"If you believe this is an error, please contact us at %s","Se credi che questo sia un errore, ti preghiamo di contattarci a questo indirizzzo %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opzioni specificate per l\'attributo non valide per l\'attributo %s (%s), salta la registrazione."
"Invalid attribute set specified, skipping the record.","Set di attributi specificati non valido, salta la registrazione."
"Invalid billing address for (%s)","Indirizzo di fatturazione non valido per (%s)"
"Invalid current password","Password corrente non valida"
"Invalid customer data","Dati cliente non validi"
"Invalid email address """"%s"""".","Indirizzo email non valido """"%s""""."
"Invalid email address.","Indirizzo email non valido"
"Invalid login or password.","Login o password non validi"
"Invalid password reset token.","Reset token password non valido."
"Invalid shipping address for (%s)","Indirizzo di spedizione non valido per (%s)"
"Invalid store specified, skipping the record.","Negozio specificato non valido, salta la registrazione."
"Invalid website, skipping the record, line: %s","Sito web non valido, salta la documentazione, linea: %s"
"Last Activity","Ultima attività"
"Last Date Subscribed","Ultima data iscrizioni"
"Last Date Unsubscribed","Ultima data annullamento iscrizione"
"Last Name","Cognome"
"Last URL","Ultimo URL"
"Leave empty for default (15 minutes).","Lascia vuoto per il valore predefinito (15 minuti)."
"Leave empty for default (2). Valid range: 1-4","Lascia vuoto come predefinito (2). Serie consentita: 1-4"
"Lifetime Sales","Durata vendite"
"Log In","Accedi"
"Log Out","Esci"
"Login","Accedi"
"Login Information","Informazioni accesso"
"Login Options","Opzioni accesso"
"Login and password are required.","Login e password richiesti"
"MM","MM"
"Manage Addresses","Gestisci indirizzi"
"Manage Customers","Gestisci clienti"
"Maximum length must be less then %s symbols","La lunghezza massima deve essere minore di %s simboli"
"Missing email, skipping the record, line: %s","Email mancante, salta la documentazione, linea: %s"
"Missing email, skipping the record.","Email mancante, salta la registrazione."
"Missing first name, skipping the record, line: %s","Nome mancante, salta la documentazione, linea: %s"
"Missing firstname, skipping the record.","Nome mancante, salta la registrazione."
"Missing last name, skipping the record, line: %s","Cognome mancante, salta la documentazione, linea: %s"
"Missing lastname, skipping the record.","Cognome mancante, salta la registrazione."
"Missing website, skipping the record, line: %s","Sito web mancante, salta la documentazione, linea: %s"
"Month","Mese"
"My Account","Il mio account"
"My Account Wrapper","Wrapper Mio Account"
"My Dashboard","La mia Bacheca"
"My Orders","I miei ordini"
"Name","Nome"
"Name and Address Options","Opzioni nome e indirizzo"
"Never","Mai"
"New Address","Nuovo indirizzo"
"New Address Entry","Voce nuovo indirizzo"
"New Customer","Nuovo cliente"
"New Customer Address","Nuovo indirizzo cliente"
"New Customer Group","Nuovo gruppo cliente"
"New Customer Groups","Nuovi gruppi cliente"
"New Group","Nuovi gruppi"
"New Password","Nuova password"
"New account","Nuovo account"
"New account confirmation key","Codice di conferma nuovo account"
"New account confirmed","Nuovo account confermato"
"New password field cannot be empty.","Il campo della nuova password non può essere vuoto"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter finale"
"Newsletter Information","Informazioni newsletter "
"Newsletter Received","Newsletter ricevuta"
"Newsletter Start","Newsletter inizio"
"Newsletter Subscription","Newsletter iscrizione"
"Newsletters","Newsletter"
"No Items Found","Nessun oggetto trovato"
"No Newsletter Found","Nessuna newsletter trovata"
"No customer collections found","Collezioni cliente non trovate"
"No item specified.","Nessun oggetto specificato"
"Not Sent","Non inviato"
"Not confirmed, can login","Non confermato, puoi accedere"
"Not confirmed, cannot login","Non confermato, non puoi accedere"
"Number of Lines in a Street Address ","Numero di linee dell'indirizzo"
"Offline","Offline"
"Online","Online"
"Online Customers","Clienti Online"
"Online Customers Options","Opzioni Clienti Online"
"Online Minutes Interval","Intervallo minuti online"
"Order #","Ordine #"
"Order Total","Ordine totale"
"Orders","Ordini"
"PDF","PDF"
"Password","Password"
"Password Management","Gestione password"
"Password Options","Opzioni password"
"Password forgotten","Password dimenticata"
"Password:","Password:"
"Paused","In pausa"
"Pending","In attesa"
"Per Website","Per sito"
"Personal Information","Informazioni personali"
"Please enter a number 1 or greater in this field.","In questo campo inserire il numero 1 o un numero maggiore."
"Please enter a valid date between %s and %s at %s.","Inserire una data valida tra il %s e %s a %s."
"Please enter a valid date equal to or greater than %s at %s.","Inserire una data valida uguale o maggiore di %s al %s."
"Please enter a valid date less than or equal to %s at %s.","Inserire una data valida minore o uguale di %s al %s."
"Please enter the city.","Inserire la città."
"Please enter the country.","Inserire il paese."
"Please enter the first name.","Inserire il nome."
"Please enter the last name.","Inserire il cognome."
"Please enter the state/province.","Inserire lo stato/provincia."
"Please enter the street.","Inserire la strada."
"Please enter the telephone number.","Inserire il numero di telefono."
"Please enter the zip/postal code.","Inserire il CAP."
"Please enter your email below and we\'ll send you confirmation link for it.","Inserisci la tua email di seguito e ti invieremo un link di conferma."
"Please enter your email.","Inserisci la tua email."
"Please select a website which contains store view","Selezionare un sito web che contenga una vista negozio"
"Please select region, state or province","Inserisci regione, stato o provincia"
"Please, check your email for confirmation key.","Per favore, cerca nella tua email il codice di conferma."
"Prefix Dropdown Options","Opzioni Prefisso"
"Prefix","Prefisso"
"Product","Prodotto"
"Product ID","ID prodotto"
"Product Name","Nome prodotto"
"Product Reviews","Recensioni prodotto"
"Product Tags","Tag prodotto"
"Purchase On","Acquistato il"
"Purchased On","Acquistato il"
"Qty","Quantità"
"Recent Orders","Ordini recenti"
"Records for %s store found.","Registrazioni per %s negozi trovati."
"Recovery Link Expiration Period (days)","Periodo di scadenza del link di recupero (giorni)"
"Redirect Customer to Account Dashboard after Logging in","Reindirizza i clienti alla bacheca dell'account dopo l'accesso"
"Refunded","Rimborsati"
"Register","Registrati"
"Remind Email Template","Ricorda Template email"
"Remind Password","Ricorda password"
"Remove","Rimuovi"
"Require Emails Confirmation","Conferma email richiesta"
"Require admin user to change user password","E richiesto un utente admin per cambiare la password utente"
"Reset a Password","Reset a Password"
"Retrieve address data","Recupera indirizzo dati"
"Retrieve address info","Recupera informazioni indirizzo"
"Retrieve customer addresses","Recupera indirizzi cliente"
"Retrieve customer data","Recupera dati cliente"
"Retrieve customer groups","Recupera gruppi cliente"
"Retrieve customer info","Recupera informazioni cliente"
"Retrieve customers","Recupera clienti"
"Retrieve your confirmation link here","Recupera il tuo link di conferma qui"
"Retrieve your password here","Recupera la tua password"
"SKU","SKU"
"Sales Statistics","Statistiche vendite"
"Save","Salva"
"Save Address","Salva indirizzo"
"Save Customer","Salva cliente"
"Save Customer Group","Salva gruppo cliente"
"Save Password","Salva password"
"Save and Continue Edit","Salva e continua a modificare"
"Saved %d record(s)"," %d registrazioni salvate"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Punto e virgola (;) per separare i valori.<br/>Metti il punto e virgola all'inizio delle prime opzioni vuote.<br/>Lascia vuoto per aprire il campo del testo."
"Send Auto-Generated Password","Invia Password Auto-Generata"
"Send From","Invia da"
"Send Welcome Email","Invia email di benvenuto"
"Send Welcome Email after Confirmation","Invia email di benvenuto dopo la conferma"
"Send confirmation link","Invia link di conferma"
"Sending","Invio"
"Sent","Inviato"
"Session Start Time","Sessione di tempo iniziale"
"Set as Default Billing Address","Imposta come indirizzo di fatturazione predefinito"
"Set as Default Shipping Address","Imposta come indirizzo di spedizione predefinito"
"Share Customer Accounts","Condividi account cliente"
"Shipped to First Name","Inviato a Nome"
"Shipped to Last Name","Inviato a Cognome"
"Shipped to Name","Spedito a Nome di"
"Shopping Cart","Carrello"
"Shopping Cart - %d item(s)","Carrello - %d oggetto"
"Shopping Cart of %1$s - %2$d item(s)","Carrello di %1$s - %2$d articolo/i"
"Show Date of Birth","Visualizza data di nascita"
"Show Gender","Visualizza sesso"
"Show Middle Name (initial)","Mostra secondo nome (iniziali)"
"Show Prefix","Visualizza prefisso"
"Show Suffix","Visualizza suffisso"
"Show Tax/VAT Number","Visualizza numero partita IVA"
"Show VAT Number on Frontend","Mostra il numero di partita IVA nel Frontend"
"Sign Up for Newsletter","Iscriviti alla newsletter"
"Skipping import row, required field ""%s"" is not defined.","Salta riga dell\'importo, campo richiesto  ""%s"" non definito."
"Skipping import row, website ""%s"" field does not exist.","Salta riga dell\'importo, campo del sito ""%s"" non esistente."
"State/Province","Stato/Provincia"
"Status","Status"
"Store","Negozio"
"Store View","Visualizza negozio"
"Street Address","Indirizzo"
"Street Address %s","Via %s"
"Subject","Oggetto"
"Submit","Invia"
"Subscribe to Newsletter","Iscrivi alla newsletter"
"Subscribed to Newsletter?","Iscritto alla newsletter?"
"Suffix","Suffisso"
"Suffix Dropdown Options","Opzioni Suffisso"
"Tag Name","Nome tag"
"Tax Calculation Based On","Calcolo tasse basato su"
"Tax Class","Classe tasse"
"Tax/VAT number","Numero partita IVA"
"Telephone","Telefono"
"Text","Testo"
"Text One Line","Una linea di testo"
"Thank you for registering with %s.","Grazie per esserti registrato con %s."
"The Date of Birth is required.","La data di nascita è un campo obbligatorio."
"The TAX/VAT number is required.","Il numero di partita IVA è un campo obbligatorio."
"The VAT ID entered (%s) is not a valid VAT ID.","Il numero di partita IVA inserito  (%s) non è un numero valido."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Il numero di partita IVA inserito (%s) non è un numero valido. Il cliente appartiene al gruppo cliente %s."
"The VAT ID is valid. The current Customer Group will be used.","Il numero di partita IVA è valido. Verrà utilizzato il gruppo cliente corrente."
"The account information has been saved.","Informazioni account salvate."
"The address does not belong to this customer.","L\'indirizzo non appartiene a questo cliente."
"The address has been deleted.","Indirizzo cancellato."
"The address has been saved.","Indirizzo salvato."
"The customer ID and email did not match, skipping the record, line: %s","L\'ID cliente e l\'email non corrispondono, salta la documentazione, linea: %s"
"The customer does not have default billing address.","Questo cliente non ha un indirizzo di fatturazione predefinito."
"The customer email (%s) already exists, skipping the record, line: %s","L\'email del cliente (%s) esiste già, salta la documentazione, linea: %s"
"The customer group has been deleted.","Gruppo cliente cancellato."
"The customer group has been saved.","Gruppo cliente salvato."
"The customer is currently assigned to Customer Group %s.","In questo momento il cliente fa parte del gruppo cliente %s."
"The first name cannot be empty.","Il campo nome non può essere lasciato vuoto."
"The group ""%s"" cannot be deleted","Questo gruppo ""%s"" non può essere cancellato"
"The last name cannot be empty.","Il campo cognome non può essere lasciato vuoto."
"The minimum password length is %s","La lunghezza minima della password è %s"
"The password cannot be empty.","Il campo password non può essere lasciato vuoto."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","La password deve avere almeno 6 caratteri. Spazi iniziali e finali verranno ignorati.."
"The suffix that goes after name (Jr., Sr., etc.)","Il suffisso va inserito dopo il nome (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Il titolo va inserito prima del nome (Sig., Sig.ra, etc.)"
"There are no items in customer's wishlist at the moment","Non ci sono oggetti nella wishlist del cliente al momento"
"There are no items in customer\'s shopping cart at the moment","Non ci sono oggetti nel carrello del cliente al momento"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ci sono già account registrati con questa email. Se sei sicuto che sia il tuo indirizzo email, <a href=""%s"">clicca qui</a> per avere la tua password ed accedere al tuo account."
"There was an error validating the VAT ID.","Si è verificato un errore durante la convalida del numero di partita IVA."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Si è verificato un errore durante la convalida del numero di partita IVA. Il cliente appartiene al gruppo cliente %s."
"This account is not confirmed.","Account non confermato."
"This customer email already exists","Questa email cliente è già esistente"
"This customer has no saved addresses.","Questo cliente non ha nessun indirizzo salvato."
"This email does not require confirmation.","Questa email non richiede conferma."
"This email will be sent instead of default welcome email, after account confirmation.","Questa email verrà inviata istantaneamente come email di benvenuto predefinita, dopo la conferma dell'account."
"This is My Default %s Address","Questo  %s è l\'indirizzo predefinito"
"To Cart","Al carrello"
"Unable to save the customer.","Impossibile salvare il cliente."
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Per mostrare il numero di partita IVA nel frontend, imposta l'opzione mostra il numero di partita IVA nel frontend su Si."
"Total","Totale"
"Type","Tipo"
"Unknown","Sconosciuto"
"Unsubscribe from Newsletter","Disiscrivi dalla newsletter"
"Update","Aggiorna"
"Update customer address data","Aggiorna dati indirizzo cliente"
"Update customer data","Aggiorna dati cliente"
"Use as My Default %s Address","Usa come indirizzo predefinito %s "
"Use as My Default Billing Address","Usa come mio indirizzo di fatturazione predefinito"
"Use as My Default Shipping Address","Usa come mio indirizzo di spedizione predefinito"
"Use as my default billing address","Usa come mio indirizzo di fatturazione predefinito"
"Use as my default shipping address","Usa come mio indirizzo di spedizione predefinito"
"VAT Number","Numero di partita IVA"
"VAT Request Date","Data partita IVA richiesta"
"VAT Request Identifier","Identificativo richiesta numero di partita IVA"
"Validate VAT Number","Convalida numero di partita IVA"
"Validate on Each Transaction","Convalida per ogni transazione"
"Validation Error Group","Errore Convalida Gruppo"
"View","Visualizza"
"View Order","Visualizza ordine"
"Visitor","Visitatore"
"Visitors Only","Solo visitatore"
"Website","Sito"
"Welcome Email","Email di benvenuto"
"Wishlist","Wishlist"
